sgRNA	Gene	Control	Vehicle	T8
ID_26426	NCAPD2	3	1	1
ID_20290	WNT8B	4	6	4
ID_36616	CYP2S1	2	3	2
ID_28030	UBAC1	3	0	0
ID_41477	DET1	2	1	1
ID_60227	POU5F2	2	4	7
ID_26388	AP5Z1	7	8	4
ID_48521	PLEKHA3	4	1	1
ID_51544	OR4A5	7	1	7
ID_47670	SIL1	4	0	0
ID_49166	OR11H2	6	5	2
ID_1935	BUB1	1	0	0
ID_11965	MYB	3	3	4
ID_74600	TMEM191B	5	1	1
ID_11611	MMP10	3	0	1
ID_75255	HSFX2	3	0	2
ID_70285	KRT77	2	3	0
ID_23440	MBD2	3	0	0
ID_53995	CARD6	2	3	2
ID_38813	SFMBT1	5	0	2
ID_17736	SNAI2	1	2	6
ID_51895	NUAK2	4	8	4
ID_6456	FLNA	3	2	2
ID_26179	ZNF518A	2	4	2
ID_37604	CELA2B	1	2	1
ID_69484	RD3	2	1	0
ID_22122	PIK3R3	3	3	1
ID_74177	C7orf73	7	3	3
ID_51339	CPTP	2	1	0
ID_317	ADD1	8	4	3
ID_23955	PRPF3	3	2	1
ID_52630	SNX25	9	6	3
ID_66114	CNPY4	3	0	0
ID_35815	GNMT	4	1	2
ID_3168	CHIT1	6	5	4
ID_55068	GGACT	3	0	0
ID_33673	TBC1D22A	6	1	6
ID_75821	IQCJ-SCHIP1	2	1	1
ID_35971	ADAMDEC1	1	0	2
ID_60274	UBLCP1	3	3	1
ID_62058	HFE2	1	0	1
ID_3476	CMKLR1	3	4	1
ID_13695	PEX13	2	1	2
ID_59846	GALM	4	1	1
ID_5999	FABP4	2	2	1
ID_52240	TMUB1	1	1	0
ID_4287	CUX1	1	1	1
ID_5884	EVI2B	2	2	0
ID_1988	C4A	1	0	1
ID_8921	HSPA1A	2	1	0
ID_41405	TRMT12	4	1	0
ID_71536	C1QL3	3	0	1
ID_39606	BCO1	10	7	3
ID_63906	MMAA	3	1	1
ID_26891	SCAMP2	2	0	1
ID_49578	C3orf52	3	2	2
ID_5711	EPOR	1	2	2
ID_72341	IQCF3	2	4	3
ID_55766	NUP210L	1	2	4
ID_33921	BRMS1	5	2	1
ID_61765	C18orf25	2	1	1
ID_6977	GCH1	2	6	6
ID_4515	DAPK1	2	0	0
ID_19194	TIAM1	3	3	0
ID_4333	CYP1A1	4	3	1
ID_21201	CCDC6	2	1	3
ID_2331	CASP1	2	0	1
ID_75987	KRTAP9-6	4	5	6
ID_2521	CCNT2	3	2	2
ID_41579	SLFN12	4	2	2
ID_69657	PRSS48	2	1	0
ID_73771	KIAA0754	4	1	3
ID_26897	IL18BP	4	2	4
ID_75350	DPP9-AS1	4	3	0
ID_23469	CDK5R2	3	2	2
ID_7013	OPN1MW	1	2	1
ID_38278	TMEM216	1	1	4
ID_1872	BRCA2	3	1	0
ID_18695	TALDO1	3	1	2
ID_31184	EPN2	4	2	1
ID_34500	RAI14	3	6	7
ID_60473	GOT1L1	5	3	3
ID_5104	DSP	6	5	2
ID_9911	JARID2	1	5	9
ID_64333	KRT24	2	1	0
ID_11416	MFI2	2	2	4
ID_45182	SALL4	1	0	0
ID_3405	CLN3	5	2	3
ID_77135	controlguide694	4	3	2
ID_18095	SPR	1	4	0
ID_23700	PSTPIP2	4	0	4
ID_25221	MINPP1	6	0	1
ID_66096	SEMA3D	2	1	3
ID_58371	GTSF1	2	1	2
ID_75265	SUPT20HL1	4	3	1
ID_1381	ATP2B2	3	3	2
ID_8998	NDST1	3	2	4
ID_17792	SMO	1	0	1
ID_62467	PPP1R1C	2	1	0
ID_41986	LRRC20	2	1	1
ID_39840	GPR173	4	1	8
ID_32538	U2SURP	1	0	0
ID_4932	DYNC1LI2	3	0	1
ID_40047	DGCR8	2	0	0
ID_32147	PLCL2	2	0	2
ID_4916	DNASE2	3	2	3
ID_1028	AQP3	3	5	3
ID_17755	SMARCB1	3	2	1
ID_53614	DOT1L	4	0	1
ID_77074	controlguide633	5	1	0
ID_66431	RNF169	1	5	4
ID_26220	LRIG2	3	4	3
ID_34813	FBXL4	4	0	1
ID_29608	UGT2A1	7	2	2
ID_6962	GC	3	2	2
ID_58366	SP7	3	1	2
ID_44350	KCNK12	5	1	4
ID_60151	IL31RA	2	2	2
ID_61393	GSC	2	0	0
ID_14052	PKHD1	2	2	1
ID_73244	OR14J1	2	1	0
ID_76956	controlguide515	3	0	2
ID_1452	ATP6V1A	2	0	0
ID_77328	controlguide887	3	5	4
ID_26753	SH2B3	2	4	2
ID_20539	ZSCAN20	2	1	5
ID_63313	LDHAL6A	2	1	0
ID_76805	controlguide364	7	5	4
ID_22485	JRK	5	0	2
ID_75465	CXorf49B	1	0	1
ID_59172	PLK5	4	3	4
ID_18134	SPTA1	6	3	4
ID_39603	BCO1	3	0	1
ID_12361	NDUFS1	2	0	2
ID_47514	EDDM3B	2	0	4
ID_40566	C17orf59	4	1	5
ID_72159	C11orf88	2	1	1
ID_26242	PJA2	5	3	0
ID_29011	PLK4	3	0	0
ID_52662	KRTAP9-3	5	6	2
ID_60739	GAB3	2	2	2
ID_784	ANG	3	0	2
ID_9702	IRF2	3	0	1
ID_68513	FAM149B1	4	2	1
ID_45760	KIAA1324	1	1	1
ID_67910	SLC9C2	2	4	3
ID_55929	BOC	6	2	4
ID_45601	RNF150	3	0	0
ID_56180	ZNF585B	3	3	5
ID_27665	DNAJA2	1	0	0
ID_50676	DCAF17	1	2	3
ID_43346	ZNF839	5	3	4
ID_3631	COL10A1	5	2	4
ID_44619	DUS3L	2	0	3
ID_21175	NR4A3	1	1	4
ID_64266	SYNPO2	3	1	3
ID_38741	SNX9	4	3	5
ID_30903	RASA3	1	4	3
ID_27531	SPRY2	2	3	2
ID_49407	RNASEH2B	1	0	1
ID_19186	TIA1	1	5	2
ID_22542	AKR1C3	3	1	1
ID_53511	DYDC2	3	2	5
ID_7275	GM2A	2	0	3
ID_997	APRT	3	3	1
ID_29338	PGRMC1	2	3	2
ID_61980	ZNF681	2	6	2
ID_57441	DDIT4L	4	2	1
ID_49163	OR11H2	2	1	1
ID_5634	EPB42	3	0	1
ID_13198	P2RY2	1	0	0
ID_27677	APC2	4	6	8
ID_49137	MMEL1	2	1	0
ID_6842	GALNS	3	4	2
ID_53672	MEGF11	2	0	3
ID_53799	FAXC	1	0	1
ID_13413	SERPINA5	2	1	0
ID_29307	PDE10A	5	0	0
ID_44470	TM9SF3	5	2	1
ID_59410	C1orf216	4	0	0
ID_8461	MR1	1	3	4
ID_74312	FOXD4L5	2	0	0
ID_50227	THSD4	8	6	3
ID_22041	CDC42BPA	5	0	3
ID_58148	PNLIPRP3	3	2	1
ID_75492	KCNJ18	2	3	0
ID_4988	DPH1	2	0	1
ID_33171	WBP1	7	7	1
ID_46477	ZNF410	5	1	1
ID_29860	SNRNP27	4	2	4
ID_33437	LSM5	2	0	0
ID_57232	ESCO1	5	4	9
ID_35225	ELP4	2	1	0
ID_58705	PAQR4	5	3	4
ID_24115	RASSF9	3	10	1
ID_16252	RORB	5	7	4
ID_14454	POU3F2	3	1	0
ID_46092	CCDC146	3	2	2
ID_54975	TNKS1BP1	4	0	4
ID_42682	GALNT10	2	1	0
ID_56780	EGLN2	3	3	0
ID_54401	FAM73B	4	2	2
ID_61170	CACUL1	5	1	2
ID_76921	controlguide480	3	1	3
ID_71470	SPATA31D3	1	1	0
ID_65598	OAF	6	3	10
ID_14867	PRKCZ	1	2	0
ID_56006	CHMP7	1	2	1
ID_32010	PHLDB1	3	2	6
ID_53714	MCM8	3	1	2
ID_29615	MSL3	3	2	0
ID_10942	MARCKS	1	0	0
ID_61715	EME1	3	3	2
ID_25656	PUM1	3	2	1
ID_29509	PNPLA6	1	0	0
ID_53437	C7orf50	7	5	2
ID_35820	SULT1C4	6	5	0
ID_45275	ZNF248	2	4	4
ID_42186	TMEM140	4	1	1
ID_30074	DIDO1	2	1	0
ID_11119	MAP6	1	0	2
ID_42910	RAB20	6	4	7
ID_67069	MDGA1	6	5	6
ID_34628	TRPC4AP	2	1	1
ID_31541	PDZD2	4	4	1
ID_64528	NLRC3	3	1	4
ID_73746	SMIM15	2	2	2
ID_38092	CKLF	2	5	1
ID_26734	HDAC5	5	5	4
ID_51708	CSRNP2	6	2	7
ID_47147	CIDEC	2	1	0
ID_23820	EIF1AY	2	0	1
ID_61483	PGPEP1L	6	1	0
ID_55495	TMEM263	1	1	5
ID_22299	BHLHE40	1	3	1
ID_51109	ZKSCAN3	1	0	1
ID_56203	MEX3A	2	0	1
ID_70499	MAST4	5	3	5
ID_49154	OR5H2	1	4	2
ID_38207	HGH1	2	1	1
ID_14057	PKNOX1	3	4	1
ID_5271	LPAR1	2	0	1
ID_59210	KDF1	5	3	2
ID_33807	MTO1	4	3	1
ID_38111	NIN	7	5	0
ID_75025	SHISA9	7	1	3
ID_21575	BRAP	4	2	1
ID_29363	TSPAN9	4	4	4
ID_54942	LRRCC1	3	5	1
ID_17075	SDCBP	2	1	1
ID_8589	HNRNPD	5	0	1
ID_61873	ZNF563	5	5	5
ID_7813	GRM8	4	2	4
ID_65876	PXDC1	4	2	4
ID_3844	CR2	2	3	4
ID_10115	KCNN4	3	0	2
ID_8042	GYPC	3	4	1
ID_65469	OR1S1	4	4	2
ID_48579	RASL11B	6	3	1
ID_44438	GRIPAP1	2	1	0
ID_55094	UMODL1	3	2	3
ID_12236	NCAM2	3	1	3
ID_24363	ITGB1BP1	1	4	2
ID_27305	ALG3	3	0	2
ID_12165	NAB2	5	3	7
ID_31920	GGA3	1	0	0
ID_15804	RAP1A	3	1	2
ID_59452	WDR64	2	2	0
ID_27170	MBNL2	1	1	2
ID_39354	ZNF44	2	4	2
ID_15849	RARRES2	3	3	1
ID_52922	PRAM1	3	1	3
ID_53784	PGBD1	4	0	2
ID_9772	ITGA9	4	3	3
ID_68541	POTED	1	0	2
ID_64780	ARL13B	4	4	5
ID_36242	SNX24	1	0	0
ID_38235	PDZD11	2	1	2
ID_67662	SLC26A11	4	3	2
ID_43297	EXOC1	3	3	1
ID_56450	ORAI3	1	3	1
ID_68617	KRTAP19-1	4	1	4
ID_23096	INPP4B	8	3	5
ID_72809	RGS21	1	4	3
ID_37206	PLA2G3	2	0	1
ID_63380	CCDC122	1	6	4
ID_34617	FGFR1OP2	1	1	1
ID_52358	SESN2	4	2	3
ID_20993	IL1R2	4	1	3
ID_39024	LGSN	3	1	2
ID_28832	CELF2	6	3	2
ID_60161	C5orf47	7	5	3
ID_7940	GTF2E2	2	0	0
ID_26360	SV2A	2	4	1
ID_47700	ZNF106	1	2	2
ID_176	ACRV1	2	2	2
ID_10955	SMAD1	4	2	1
ID_40883	CWC25	1	0	1
ID_35199	GREM1	1	3	3
ID_72934	GPR179	4	1	1
ID_2301	CAPN6	6	8	4
ID_19462	TP53BP2	4	5	6
ID_73690	MIR205HG	1	3	0
ID_51243	PBX4	2	6	2
ID_47945	SMURF2	5	1	0
ID_58975	OR7G1	4	2	0
ID_42898	BTBD2	2	6	3
ID_52116	PUS7L	2	1	2
ID_61647	C17orf77	1	2	2
ID_50204	CPSF7	3	1	0
ID_62799	C5orf38	2	2	2
ID_28929	RRH	1	0	1
ID_1103	ARG2	1	0	0
ID_63505	MFSD6L	1	1	3
ID_7485	GPM6B	2	1	1
ID_25695	HERPUD1	2	4	2
ID_18967	TEF	2	0	2
ID_28430	ANP32B	2	1	1
ID_39641	GPR84	7	5	3
ID_43580	TEX2	3	0	0
ID_9956	KCNA4	5	3	1
ID_70966	C16orf47	1	1	1
ID_5815	ESRRB	2	0	0
ID_76585	controlguide144	5	6	2
ID_11957	MX2	2	4	3
ID_51607	SYNC	3	5	4
ID_9507	IL12RB2	4	3	3
ID_1060	ARAF	3	4	1
ID_36618	CYP2S1	1	0	2
ID_46160	USP29	1	3	0
ID_50100	PIP4K2C	5	4	2
ID_2391	CAV2	1	2	0
ID_6383	FOXC1	4	2	3
ID_76553	controlguide112	6	3	1
ID_66998	TAS2R46	7	3	4
ID_46609	ZNF250	1	2	3
ID_16719	S100A2	3	2	2
ID_25214	VPS26A	4	2	0
ID_38382	GMIP	2	0	0
ID_72974	FAM183A	3	3	0
ID_41721	UBR7	5	2	1
ID_12546	NFKBIA	7	5	0
ID_7294	GNA11	4	2	2
ID_13500	PDE1C	3	4	6
ID_72789	DENND6B	4	3	4
ID_4815	DLG4	1	0	1
ID_50717	BAIAP2L2	3	2	8
ID_35746	TUBG2	1	4	3
ID_71220	C2orf71	2	6	0
ID_19624	TRPS1	2	3	3
ID_71623	ACCSL	3	5	2
ID_19669	TST	4	2	0
ID_38531	ZNF771	3	0	0
ID_51662	STMN4	5	6	2
ID_4269	CTSO	6	2	2
ID_37437	STMN3	4	2	2
ID_1845	FOXL2	4	4	6
ID_72141	PCNXL3	2	0	1
ID_75472	FAM25G	2	0	0
ID_39954	FBXO42	1	0	2
ID_23306	TAX1BP1	3	0	1
ID_42842	ZDHHC7	2	0	0
ID_77061	controlguide620	1	1	2
ID_23051	IL18R1	2	0	2
ID_48176	AIDA	4	3	4
ID_74449	BOLA2B	5	1	0
ID_6050	ACSL4	7	4	5
ID_22649	STX16	2	1	0
ID_51107	ZKSCAN3	2	5	4
ID_66106	MS4A6E	8	5	2
ID_54326	AGBL4	5	0	0
ID_21309	TCL1A	5	2	1
ID_76770	controlguide329	2	5	3
ID_34535	GGA1	1	0	1
ID_77423	controlguide982	4	2	2
ID_51411	APOL5	2	0	0
ID_73617	DEFB136	1	3	4
ID_48753	ZNF655	6	5	6
ID_13511	PDE3B	1	0	0
ID_28490	SLC19A2	5	4	2
ID_4773	Sep-01	1	2	0
ID_22202	DGKD	6	2	0
ID_13934	PIGA	2	1	0
ID_15449	PTPN13	2	1	2
ID_52437	SLC25A18	1	1	1
ID_60044	LSMEM2	3	1	0
ID_15928	RBMS2	5	2	1
ID_52847	HORMAD1	3	6	2
ID_11084	MAN2A1	5	4	5
ID_31075	ENPP4	5	2	1
ID_65832	LEMD2	3	1	0
ID_61339	BEST3	1	1	0
ID_60483	VPS37A	1	0	0
ID_30395	TREH	3	2	1
ID_32893	TRAM1	6	14	41
ID_50526	DNAJB14	1	0	0
ID_26486	MAFB	2	2	2
ID_31633	SETD1B	7	3	9
ID_72998	C1orf186	3	1	0
ID_18458	STXBP2	4	1	4
ID_8200	HBB	4	2	1
ID_60787	RNF113B	2	6	4
ID_11218	MCC	2	2	4
ID_17625	SLC12A4	1	2	2
ID_10536	LCN1	3	2	2
ID_35072	CNNM4	2	1	2
ID_34431	LRRTM2	5	1	6
ID_51796	ACSBG2	2	3	2
ID_34633	SERBP1	1	0	0
ID_45082	CHMP1B	1	1	1
ID_7405	GNS	3	2	1
ID_11305	MEA1	2	1	0
ID_29649	CBX1	2	2	0
ID_15312	PTCH1	2	4	4
ID_1976	C2	10	11	4
ID_24204	XPR1	4	4	2
ID_6483	FLT4	3	2	1
ID_54637	IGSF21	7	3	2
ID_59044	IZUMO2	3	2	2
ID_44800	CHPT1	2	2	2
ID_71156	LYSMD1	3	3	0
ID_49709	IPO4	5	0	0
ID_68654	KRTAP19-4	3	4	2
ID_31612	GGA2	2	1	0
ID_60862	ACTRT2	2	6	2
ID_59370	HMGB4	5	2	2
ID_50921	ARMC9	1	2	3
ID_39191	C14orf166	3	0	0
ID_66660	PDZD9	3	2	0
ID_18237	TRIM21	1	0	3
ID_3854	CRAT	4	2	1
ID_47610	ZSCAN31	3	0	3
ID_18884	TCN1	3	2	5
ID_2374	CASQ2	3	4	4
ID_24319	CACNA2D2	2	1	0
ID_69806	ITIH6	5	1	0
ID_66596	MYADML2	3	0	1
ID_55584	TBL1Y	2	0	1
ID_13237	PCSK6	4	3	5
ID_50412	CNTNAP3	2	0	0
ID_39284	ASB2	1	3	2
ID_32724	SIRT5	1	1	3
ID_59233	WDR63	2	0	0
ID_77315	controlguide874	8	5	6
ID_11976	MYBPC1	2	2	10
ID_14892	MAPK4	2	1	0
ID_56409	B3GNT7	3	5	9
ID_74380	GOLGA6D	3	3	0
ID_31159	ARHGEF15	4	1	4
ID_52951	ACAD11	3	2	1
ID_6538	FOLR2	2	6	4
ID_71861	OR7G2	2	1	2
ID_62373	OR6B3	2	0	1
ID_10727	LMO7	5	1	2
ID_54040	SPATA22	3	0	0
ID_76663	controlguide222	7	5	9
ID_72685	GTF2H5	4	2	3
ID_53241	FLYWCH1	2	2	2
ID_49219	LRFN3	1	0	1
ID_1098	ARG1	2	4	3
ID_72770	C9orf106	1	2	2
ID_55879	RSAD2	3	0	0
ID_40613	CNNM2	3	1	1
ID_62801	IRX2	4	2	3
ID_10809	LRPAP1	1	2	1
ID_59059	NLRP13	4	2	0
ID_46879	SLC5A7	1	1	1
ID_35161	OR10H2	4	2	1
ID_15327	PTGER1	5	6	9
ID_68408	SPATA31E1	3	1	0
ID_65045	HTRA4	4	3	5
ID_48494	PYCRL	4	1	1
ID_46985	MIIP	2	2	2
ID_11956	MX1	1	1	1
ID_68131	SUMF1	3	1	1
ID_34692	GIMAP2	3	2	0
ID_68169	RNF212	1	1	4
ID_8569	SLC29A2	3	0	1
ID_48211	RFX7	3	1	2
ID_63493	ZFP1	9	2	1
ID_18769	TBX5	1	0	1
ID_18848	GCFC2	1	1	0
ID_65235	OR4C11	2	1	2
ID_32429	SATB2	3	3	0
ID_55093	UMODL1	2	0	1
ID_54415	TMTC4	3	1	0
ID_48377	RAPH1	3	2	0
ID_61420	C14orf37	2	2	3
ID_34439	CNTNAP2	2	0	3
ID_15940	RBP2	5	0	2
ID_36000	ZNF330	2	1	1
ID_52969	TOMM40L	3	3	1
ID_13754	PFKL	4	5	2
ID_69970	WDR53	2	0	0
ID_33885	MOB4	1	0	1
ID_31780	NPIPB3	1	0	0
ID_34612	TCTN3	2	0	1
ID_1771	BMP1	4	3	2
ID_16142	RHO	1	4	2
ID_45691	CASKIN2	1	0	2
ID_2992	CDX4	3	3	4
ID_76828	controlguide387	3	3	4
ID_69582	FIGLA	4	4	2
ID_58172	OR51A7	2	3	2
ID_16086	RGR	7	3	7
ID_20969	PXDN	5	6	4
ID_66104	SPDYA	2	1	0
ID_33917	FAM149A	4	2	3
ID_21228	CSRP3	6	4	2
ID_55146	CHRFAM7A	7	6	2
ID_67257	KLHL35	8	1	1
ID_4268	CTSV	3	3	2
ID_41931	DCUN1D2	1	2	5
ID_1269	ASNS	2	4	0
ID_20027	UQCRC2	1	1	0
ID_4235	CTRL	5	2	6
ID_22413	SLC25A12	2	2	1
ID_63480	ZFPM1	6	0	2
ID_35395	TPK1	4	0	0
ID_25163	NRG2	2	2	0
ID_35262	OR2W1	3	2	4
ID_14710	PRB3	5	2	7
ID_61947	ZNF599	1	5	2
ID_42660	PLXNA3	6	3	2
ID_45479	TENM2	2	1	4
ID_31890	CIC	2	4	5
ID_64688	FAM209A	3	4	1
ID_13254	PAFAH1B3	1	1	0
ID_26158	HEPH	1	3	1
ID_24172	ZMYM3	1	2	1
ID_21495	SLC10A3	4	0	2
ID_44188	CPXM1	1	2	0
ID_66570	C4orf22	7	2	2
ID_48646	YIPF2	2	0	1
ID_24260	PTTG1	5	0	3
ID_26344	FIG4	3	5	5
ID_31351	EFR3B	3	0	1
ID_722	AMELY	4	3	4
ID_77086	controlguide645	1	2	8
ID_2579	CD5L	5	5	0
ID_22087	PPM1D	3	4	4
ID_62103	GLIS1	1	1	1
ID_29879	TDRKH	4	0	2
ID_48291	MRPS15	2	0	0
ID_7327	GNAQ	3	4	3
ID_28453	AGR2	5	1	3
ID_61362	FBXL14	1	2	0
ID_52312	FAM107B	2	0	1
ID_68382	NKAIN3	4	2	2
ID_63690	DENND1B	2	3	1
ID_1510	KIF1A	4	3	0
ID_20706	ZBTB16	4	1	0
ID_68624	KRTAP13-2	4	2	0
ID_24472	TRIP13	6	2	3
ID_9401	IL2RB	4	1	0
ID_1695	BDKRB2	5	6	2
ID_32242	ANKRD12	1	8	1
ID_43857	PDGFC	1	2	1
ID_42088	ASXL2	7	2	3
ID_44864	PDXP	3	10	2
ID_63009	RDH10	3	1	5
ID_76443	controlguide2	5	7	4
ID_54262	ABHD14B	4	6	3
ID_61769	CCBE1	2	2	3
ID_72327	FSIP2	3	1	2
ID_45538	HHATL	3	2	1
ID_8823	HRAS	2	4	4
ID_67031	MAGI3	5	7	3
ID_858	AOAH	2	5	3
ID_68657	KRTAP19-5	3	1	4
ID_36912	NRBP1	3	2	0
ID_1020	AQP1	1	2	1
ID_4413	CYP7A1	2	5	0
ID_52313	FAM107B	5	2	5
ID_61948	ZNF599	8	1	3
ID_8291	HEXA	3	1	0
ID_76628	controlguide187	8	9	7
ID_52538	FSD1L	1	3	1
ID_38065	HSPA14	4	0	1
ID_64629	CDCP2	4	0	2
ID_10909	LYZ	3	1	2
ID_67544	ZNF843	4	3	1
ID_12441	NEK1	1	3	5
ID_16260	ROS1	4	3	2
ID_30192	CD160	1	2	1
ID_46605	ZNF462	2	0	2
ID_33696	RAB3GAP2	3	0	2
ID_46074	SH3RF1	3	3	0
ID_11690	CD200	4	3	3
ID_27444	RCAN2	3	4	4
ID_77230	controlguide789	3	3	4
ID_11392	METTL1	3	4	0
ID_55752	TIGD7	2	1	0
ID_14221	PLTP	2	3	3
ID_60301	IRAK1BP1	5	3	0
ID_76766	controlguide325	5	5	4
ID_66425	TSGA10IP	3	2	2
ID_61111	ASB15	3	6	7
ID_68369	TRIQK	4	0	3
ID_3073	CTSC	6	3	1
ID_55195	SLC25A21	4	4	6
ID_7919	MSH6	1	0	0
ID_20871	ZNF229	2	1	1
ID_2744	CD70	4	3	0
ID_67037	PYDC1	3	0	0
ID_62893	C6orf165	6	6	3
ID_33923	TEX40	2	6	0
ID_68371	TRIQK	1	1	1
ID_37928	IRAK4	2	2	2
ID_74168	GOLGA6L10	1	0	0
ID_25189	SPAG7	3	0	0
ID_43767	ZMAT5	4	0	0
ID_73119	ANKRD20A2	1	0	1
ID_13484	PDC	4	1	0
ID_50109	CCDC102B	2	0	3
ID_34610	EPC2	2	0	0
ID_56155	DUSP27	1	0	1
ID_5379	MEGF6	4	4	2
ID_54517	MASTL	1	2	3
ID_48215	CDCP1	3	0	0
ID_46519	PLEKHB1	1	0	1
ID_35228	OR7E24	3	1	4
ID_52318	SELO	1	1	1
ID_62845	ZC2HC1B	7	3	7
ID_630	ALDH9A1	5	1	3
ID_51577	OR2L5	4	0	4
ID_56808	DTD2	1	2	1
ID_45795	CC2D2A	3	4	5
ID_62604	ROPN1B	3	3	0
ID_19685	TTC3	2	0	0
ID_7216	GLG1	2	0	0
ID_22562	LAMTOR3	2	0	0
ID_18964	TECTA	3	6	1
ID_72352	C3orf80	2	3	0
ID_68443	OR13D1	2	5	1
ID_23414	HERC1	4	3	1
ID_61409	PPP1R36	5	4	2
ID_35294	NUFIP1	2	1	6
ID_42376	C19orf66	1	2	2
ID_41432	ATG16L1	7	3	3
ID_11347	MAP3K3	1	2	0
ID_20088	VASP	2	0	0
ID_3941	CRYAB	3	1	1
ID_70812	SLC16A12	1	0	2
ID_5384	MEGF8	3	6	1
ID_9491	IL11RA	2	1	3
ID_41406	TRMT12	1	0	0
ID_67064	BEST4	1	0	2
ID_43548	ARHGAP15	2	3	1
ID_37512	ASCC1	3	2	2
ID_43735	NXT2	2	1	1
ID_18708	TAPBP	2	2	3
ID_18420	STK10	2	2	0
ID_67129	IFNL1	2	4	2
ID_34329	ZZZ3	4	2	1
ID_29563	SMPDL3A	5	5	2
ID_67146	RAB40AL	2	2	1
ID_23470	CDK5R2	4	7	2
ID_50734	VCPIP1	3	0	0
ID_63330	CLECL1	2	1	3
ID_69248	VWA2	2	1	3
ID_72786	BLID	1	1	3
ID_63935	CDC20B	2	0	0
ID_35842	GPR162	3	0	2
ID_50283	GGNBP2	2	0	1
ID_1406	ALDH7A1	2	0	2
ID_18116	SPRR2D	3	1	2
ID_25613	GREB1	4	3	3
ID_2030	C8G	3	2	0
ID_20802	ZMYM2	3	2	2
ID_76905	controlguide464	5	1	3
ID_26711	GNPDA1	2	2	0
ID_60127	PACRGL	3	2	1
ID_56642	CGB7	2	5	4
ID_35157	OR10G2	2	2	0
ID_24345	STK17A	1	0	0
ID_53581	CARD11	3	2	2
ID_28465	AGPAT1	3	0	4
ID_38812	SFMBT1	2	1	3
ID_61756	TMEM99	2	1	2
ID_72603	OR4C45	7	2	4
ID_73995	LINGO3	4	0	1
ID_71740	OR10G4	4	1	1
ID_76482	controlguide41	6	11	5
ID_34995	OR5L2	2	2	2
ID_1756	BLVRA	3	1	1
ID_8861	HES1	3	4	2
ID_69845	ARSH	5	4	4
ID_28518	RABAC1	10	0	2
ID_65343	ENKUR	2	2	0
ID_17395	SIX3	1	0	1
ID_8206	HBE1	5	2	3
ID_76739	controlguide298	2	1	2
ID_1648	BCL2L2	3	1	0
ID_70870	CLEC12B	2	3	3
ID_7105	GH1	6	2	3
ID_41166	CT55	2	4	1
ID_668	ALOX5	1	4	0
ID_17467	SLC2A3	6	3	1
ID_62878	PNLDC1	7	2	1
ID_4490	DGKA	1	0	3
ID_44260	CCL28	2	3	0
ID_14416	POMC	4	0	0
ID_48988	PHF23	1	0	0
ID_68611	KRTAP8-1	4	1	1
ID_21607	FZD8	6	3	2
ID_59805	ACVR1C	2	0	0
ID_14112	PLCB2	3	1	2
ID_13957	PIK3C2B	2	3	1
ID_15360	PTH	4	2	5
ID_32557	VPS8	4	2	1
ID_51318	KHDC1	1	0	2
ID_69830	CCDC160	6	2	4
ID_49446	C1orf54	1	2	1
ID_56052	C11orf52	4	4	4
ID_34080	THUMPD3	4	6	3
ID_49054	LENG1	3	2	2
ID_46161	USP29	3	1	1
ID_75242	ZNF737	4	0	0
ID_53793	MAK16	1	0	0
ID_66748	CCDC110	3	2	2
ID_41145	SSH3	5	3	6
ID_59961	DCBLD2	6	2	4
ID_29273	NEU3	1	3	0
ID_10522	LBR	2	0	1
ID_44503	BDH2	4	0	1
ID_17681	SLC20A2	4	2	5
ID_23855	USP14	2	0	0
ID_40213	RNF186	6	2	1
ID_67963	C1orf111	2	1	0
ID_72671	YY2	4	3	0
ID_64552	MCEMP1	1	0	0
ID_47417	SLC39A8	4	0	0
ID_53891	AFAP1L2	2	1	4
ID_9810	ITGB4	1	2	1
ID_3880	CREM	2	2	0
ID_13048	TNFRSF11B	2	3	0
ID_28347	CIB2	3	3	1
ID_77379	controlguide938	3	0	0
ID_2015	C6	4	1	6
ID_69833	CXorf66	1	1	1
ID_67807	ZNF615	1	1	1
ID_71706	LRRC10B	1	0	4
ID_22521	OASL	4	4	3
ID_16695	RYK	4	2	0
ID_17743	SMARCA2	1	1	0
ID_39707	CNTN5	3	3	2
ID_17028	CCL22	1	1	0
ID_10922	EPCAM	3	2	3
ID_60573	C9orf135	3	4	0
ID_1251	ASGR2	3	1	0
ID_68273	PPIL6	2	3	3
ID_67736	ZNF776	6	3	1
ID_76239	CYP3A7-CYP3A51P	2	3	0
ID_34755	OR2F1	8	4	10
ID_56750	TP53INP1	5	3	3
ID_49864	DHRS12	4	0	2
ID_32458	MAN2B2	6	3	1
ID_72100	FAM102A	6	1	5
ID_52795	ADGRV1	2	2	0
ID_2611	MS4A1	4	0	1
ID_3392	CLK1	3	0	2
ID_13354	PAX9	3	1	0
ID_5246	ECH1	6	5	6
ID_21785	MAD1L1	4	1	1
ID_27040	SGK2	2	0	1
ID_15560	PVRL1	1	0	1
ID_23940	RQCD1	3	2	4
ID_50819	PRR36	4	1	5
ID_42735	OTUD5	2	2	0
ID_26436	KBTBD11	2	1	3
ID_72714	C2orf27B	1	1	0
ID_21845	SPARCL1	3	2	5
ID_24786	HAND1	4	1	1
ID_25021	MAGED1	4	3	0
ID_22306	CDC14A	3	0	2
ID_68819	FAM19A2	1	4	6
