"./T0-Control.fastq.gz" "./T8-APR-246.fastq.gz" "./T8-Vehicle.fastq.gz"
"ID_5683" 7 7 0
"ID_5684" 1 1 0
"ID_5685" 5 4 6
"ID_5686" 5 5 4
"ID_5687" 2 1 2
"ID_5688" 2 0 2
"ID_5689" 4 6 5
"ID_5690" 2 0 1
"ID_5691" 1 0 0
"ID_5692" 1 0 2
"ID_5693" 2 5 2
"ID_5694" 3 0 5
"ID_5695" 3 0 0
"ID_5696" 3 6 2
"ID_5697" 3 3 1
"ID_5698" 6 2 3
"ID_5699" 2 7 3
"ID_5700" 1 2 1
"ID_5701" 4 1 3
"ID_5702" 7 4 5
"ID_5703" 8 9 7
"ID_5704" 1 2 1
"ID_5705" 3 1 1
"ID_5706" 1 3 1
"ID_5707" 5 2 1
"ID_5708" 1 0 0
"ID_5709" 1 2 2
"ID_5710" 0 0 1
"ID_5711" 2 2 3
"ID_5712" 0 0 0
"ID_5713" 0 3 0
"ID_5714" 0 0 0
"ID_5715" 0 1 2
"ID_5716" 0 0 0
"ID_5717" 1 3 0
"ID_5718" 2 1 2
"ID_5719" 0 0 0
"ID_5720" 2 2 0
"ID_5721" 2 1 1
"ID_5722" 3 6 5
"ID_5723" 0 1 6
"ID_5724" 3 5 3
"ID_5725" 3 1 3
"ID_5726" 1 0 2
"ID_5727" 2 3 2
"ID_5728" 0 0 0
"ID_5729" 4 1 2
"ID_5730" 1 4 1
"ID_5731" 4 0 2
"ID_5732" 1 0 1
"ID_5733" 1 1 2
"ID_5734" 3 1 2
"ID_5735" 0 1 0
"ID_5736" 0 3 0
"ID_5737" 0 1 1
"ID_5738" 2 1 6
"ID_5739" 0 0 0
"ID_5740" 0 4 1
"ID_5741" 2 0 1
"ID_5742" 4 2 5
"ID_5743" 1 0 0
"ID_5744" 2 0 0
"ID_5745" 0 0 1
"ID_5746" 0 0 0
"ID_5747" 0 0 0
"ID_5748" 1 0 0
"ID_5749" 2 4 6
"ID_5750" 2 1 2
"ID_5751" 3 2 0
"ID_5752" 6 9 5
"ID_5753" 2 1 0
"ID_5754" 1 0 2
"ID_5755" 3 0 1
"ID_5756" 5 2 4
"ID_5757" 0 0 1
"ID_5758" 1 0 0
"ID_5759" 0 0 0
"ID_5760" 0 0 2
"ID_5761" 1 0 0
"ID_5762" 4 1 2
"ID_5763" 3 1 2
"ID_5764" 1 0 0
"ID_5765" 3 0 3
"ID_5766" 1 1 3
"ID_5767" 2 1 3
"ID_5768" 3 4 0
"ID_5769" 1 0 2
"ID_5770" 2 0 2
"ID_5771" 1 5 0
"ID_5772" 3 2 1
"ID_5773" 0 3 0
"ID_5774" 3 4 3
"ID_5775" 1 0 2
"ID_5776" 1 4 0
"ID_5777" 5 5 7
"ID_5778" 3 3 0
"ID_5779" 2 5 1
"ID_5780" 0 0 1
"ID_5781" 0 0 0
"ID_5782" 0 0 0
"ID_5783" 0 0 0
"ID_5784" 2 1 1
"ID_5785" 4 7 8
"ID_5786" 2 2 1
"ID_5787" 0 1 1
"ID_5788" 0 0 0
"ID_5789" 2 3 3
"ID_5790" 3 3 4
"ID_5791" 2 3 6
"ID_5792" 2 9 10
"ID_5793" 0 0 0
"ID_5794" 0 0 0
"ID_5795" 0 0 0
"ID_5796" 0 0 0
"ID_5797" 1 0 1
"ID_5798" 3 0 3
"ID_5799" 4 1 2
"ID_5800" 9 2 1
"ID_5801" 2 2 1
"ID_5802" 0 1 1
"ID_5803" 4 6 4
"ID_5804" 0 0 0
"ID_5805" 9 1 1
"ID_5806" 2 1 0
"ID_5807" 7 1 2
"ID_5808" 5 1 8
"ID_5809" 3 3 2
"ID_5810" 3 1 0
"ID_5811" 1 0 0
"ID_5812" 0 0 1
"ID_5813" 4 2 1
"ID_5814" 2 5 1
"ID_5815" 2 1 0
"ID_5816" 2 1 3
"ID_5817" 4 2 7
"ID_5818" 4 6 2
"ID_5819" 4 0 2
"ID_5820" 3 2 3
"ID_5821" 0 0 0
"ID_5822" 0 0 0
"ID_5823" 1 0 0
"ID_5824" 1 0 0
"ID_5825" 4 2 4
"ID_5826" 2 3 4
"ID_5827" 3 1 0
"ID_5828" 1 6 5
"ID_5829" 1 6 6
"ID_5830" 4 5 5
"ID_5831" 1 3 2
"ID_5832" 0 2 1
"ID_5833" 6 1 5
"ID_5834" 2 4 4
"ID_5835" 2 1 0
"ID_5836" 2 0 0
"ID_5837" 2 0 0
"ID_5838" 2 0 3
"ID_5839" 0 0 0
"ID_5840" 0 0 0
"ID_5841" 2 3 4
"ID_5842" 2 3 3
"ID_5843" 2 2 4
"ID_5844" 4 7 3
"ID_5845" 5 1 2
"ID_5846" 3 4 1
"ID_5847" 4 4 1
"ID_5848" 0 1 1
"ID_5849" 1 0 1
"ID_5850" 6 5 5
"ID_5851" 3 2 2
"ID_5852" 1 2 3
"ID_5853" 1 0 2
"ID_5854" 0 2 1
"ID_5855" 0 1 1
"ID_5856" 0 1 0
"ID_5857" 1 3 2
"ID_5858" 1 0 1
"ID_5859" 6 1 2
"ID_5860" 4 0 0
"ID_5861" 3 8 8
"ID_5862" 3 1 2
"ID_5863" 1 5 0
"ID_5864" 2 2 6
"ID_5865" 3 1 1
"ID_5866" 5 6 6
"ID_5867" 3 3 4
"ID_5868" 4 2 1
"ID_5869" 9 2 3
"ID_5870" 8 7 5
"ID_5871" 1 3 1
"ID_5872" 6 8 4
"ID_5873" 5 1 5
"ID_5874" 1 6 3
"ID_5875" 2 0 1
"ID_5876" 1 2 2
"ID_5877" 2 2 5
"ID_5878" 1 3 3
"ID_5879" 5 4 2
"ID_5880" 10 6 3
"ID_5881" 4 2 2
"ID_5882" 2 1 2
"ID_5883" 1 2 1
"ID_5884" 3 0 2
"ID_5885" 4 1 0
"ID_5886" 0 0 2
"ID_5887" 0 1 1
"ID_5888" 3 1 0
"ID_5889" 1 1 0
"ID_5890" 0 1 0
"ID_5891" 2 0 0
"ID_5892" 1 1 0
"ID_5893" 2 2 0
"ID_5894" 1 0 1
"ID_5895" 0 1 1
"ID_5896" 2 1 1
"ID_5897" 5 1 8
"ID_5898" 2 2 1
"ID_5899" 2 0 0
"ID_5900" 3 2 0
"ID_5901" 5 0 3
"ID_5902" 0 1 0
"ID_5903" 1 0 1
"ID_5904" 1 1 3
"ID_5905" 1 1 0
"ID_5906" 3 1 1
"ID_5907" 1 0 1
"ID_5908" 2 3 1
"ID_5909" 0 1 2
"ID_5910" 0 2 2
"ID_5911" 2 1 2
"ID_5912" 2 4 3
"ID_5913" 0 1 1
"ID_5914" 0 0 0
"ID_5915" 2 2 0
"ID_5916" 2 0 0
"ID_5917" 4 0 1
"ID_5918" 3 1 0
"ID_5919" 3 7 2
"ID_5920" 6 2 3
"ID_5921" 2 2 4
"ID_5922" 1 2 0
"ID_5923" 1 0 1
"ID_5924" 3 2 3
"ID_5925" 2 3 4
"ID_5926" 6 4 2
"ID_5927" 1 1 2
"ID_5928" 6 6 2
"ID_5929" 0 1 3
"ID_5930" 3 3 6
"ID_5931" 0 1 2
"ID_5932" 3 5 9
"ID_5933" 6 0 0
"ID_5934" 2 1 1
"ID_5935" 2 0 0
"ID_5936" 4 1 0
"ID_5937" 1 0 2
"ID_5938" 0 0 0
"ID_5939" 3 1 0
"ID_5940" 0 4 3
"ID_5941" 3 1 1
"ID_5942" 5 6 0
"ID_5943" 0 0 1
"ID_5944" 0 1 0
"ID_5945" 0 2 0
"ID_5946" 2 1 0
"ID_5947" 1 0 2
"ID_5948" 3 1 4
"ID_5949" 2 1 1
"ID_5950" 2 1 0
"ID_5951" 1 2 3
"ID_5952" 2 5 2
"ID_5953" 4 6 2
"ID_5954" 1 4 0
"ID_5955" 3 1 1
"ID_5956" 0 2 0
"ID_5957" 1 3 4
"ID_5958" 1 0 0
"ID_5959" 0 2 1
"ID_5960" 2 0 2
"ID_5961" 2 7 5
"ID_5962" 6 1 0
"ID_5963" 4 0 0
"ID_5964" 2 4 1
"ID_5965" 3 2 3
"ID_5966" 4 4 0
"ID_5967" 2 0 2
"ID_5968" 3 3 2
"ID_5969" 1 0 0
"ID_5970" 2 0 1
"ID_5971" 4 2 1
"ID_5972" 1 0 0
"ID_5973" 0 1 0
"ID_5974" 2 3 2
"ID_5975" 0 3 0
"ID_5976" 0 1 2
"ID_5977" 1 0 0
"ID_5978" 2 2 2
"ID_5979" 2 1 3
"ID_5980" 0 2 0
"ID_5981" 3 2 5
"ID_5982" 6 2 1
"ID_5983" 6 2 3
"ID_5984" 2 3 1
"ID_5985" 2 1 1
"ID_5986" 3 3 1
"ID_5987" 0 2 2
"ID_5988" 4 1 2
"ID_5989" 4 1 2
"ID_5990" 3 0 6
"ID_5991" 3 4 4
"ID_5992" 5 4 5
"ID_5993" 0 3 1
"ID_5994" 1 2 0
"ID_5995" 3 1 0
"ID_5996" 0 0 0
"ID_5997" 0 2 4
"ID_5998" 1 1 1
"ID_5999" 2 3 2
"ID_6000" 3 9 1
"ID_6001" 3 5 5
"ID_6002" 5 11 10
"ID_6003" 8 6 5
"ID_6004" 3 1 4
"ID_6005" 0 1 3
"ID_6006" 3 0 1
"ID_6007" 0 1 0
"ID_6008" 0 2 0
"ID_6009" 3 0 2
"ID_6010" 1 6 3
"ID_6011" 1 1 3
"ID_6012" 1 1 3
"ID_6013" 4 1 3
"ID_6014" 2 6 3
"ID_6015" 0 0 0
"ID_6016" 0 0 0
"ID_6017" 3 0 2
"ID_6018" 0 0 1
"ID_6019" 2 2 4
"ID_6020" 0 1 3
"ID_6021" 4 1 3
"ID_6022" 7 5 5
"ID_6023" 0 0 0
"ID_6024" 2 1 1
"ID_6025" 0 0 0
"ID_6026" 1 4 0
"ID_6027" 6 3 6
"ID_6028" 3 0 3
"ID_6029" 3 3 0
"ID_6030" 0 3 1
"ID_6031" 0 0 0
"ID_6032" 2 0 1
"ID_6033" 2 2 0
"ID_6034" 2 0 1
"ID_6035" 4 0 1
"ID_6036" 5 1 3
"ID_6037" 1 4 1
"ID_6038" 4 5 0
"ID_6039" 2 2 4
"ID_6040" 2 3 5
"ID_6041" 2 1 2
"ID_6042" 1 0 1
"ID_6043" 6 1 6
"ID_6044" 2 1 0
"ID_6045" 1 2 3
"ID_6046" 0 1 1
"ID_6047" 1 2 4
"ID_6048" 2 1 2
"ID_6049" 7 5 5
"ID_6050" 8 6 5
"ID_6051" 3 6 9
"ID_6052" 1 4 4
"ID_6053" 2 0 1
"ID_6054" 0 0 0
"ID_6055" 4 0 0
"ID_6056" 0 1 0
"ID_6057" 0 4 1
"ID_6058" 3 1 3
"ID_6059" 2 3 1
"ID_6060" 5 2 5
"ID_6061" 1 0 1
"ID_6062" 0 4 1
"ID_6063" 1 0 1
"ID_6064" 1 0 0
"ID_6065" 1 1 4
"ID_6066" 1 2 0
"ID_6067" 1 0 1
"ID_6068" 3 1 1
"ID_6069" 1 0 0
"ID_6070" 2 0 1
"ID_6071" 0 3 6
"ID_6072" 0 0 1
"ID_6073" 2 0 0
"ID_6074" 2 1 0
"ID_6075" 0 0 0
"ID_6076" 2 0 0
"ID_6077" 0 3 1
"ID_6078" 1 2 0
"ID_6079" 0 1 1
"ID_6080" 4 5 3
"ID_6081" 3 1 1
"ID_6082" 4 5 8
"ID_6083" 4 4 2
"ID_6084" 3 0 1
"ID_6085" 0 0 0
"ID_6086" 0 0 1
"ID_6087" 1 0 0
"ID_6088" 0 0 0
"ID_6089" 2 1 1
"ID_6090" 3 1 1
"ID_6091" 0 1 3
"ID_6092" 3 3 1
"ID_6093" 2 4 5
"ID_6094" 3 0 1
"ID_6095" 3 6 6
"ID_6096" 10 1 5
"ID_6097" 10 6 6
"ID_6098" 7 4 3
"ID_6099" 3 4 8
"ID_6100" 3 6 5
"ID_6101" 0 0 0
"ID_6102" 1 0 0
"ID_6103" 0 0 0
"ID_6104" 0 0 0
"ID_6105" 1 1 2
"ID_6106" 0 0 0
"ID_6107" 5 3 6
"ID_6108" 0 3 2
"ID_6109" 1 1 2
"ID_6110" 5 3 6
"ID_6111" 3 1 2
"ID_6112" 0 1 0
"ID_6113" 4 3 0
"ID_6114" 2 0 0
"ID_6115" 2 1 0
"ID_6116" 0 0 0
"ID_6117" 2 2 3
"ID_6118" 2 2 2
"ID_6119" 2 1 2
"ID_6120" 0 1 0
"ID_6121" 4 1 1
"ID_6122" 3 1 0
"ID_6123" 2 4 3
"ID_6124" 3 4 3
"ID_6125" 2 2 3
"ID_6126" 1 4 4
"ID_6127" 3 1 1
"ID_6128" 3 3 0
"ID_6129" 5 6 1
"ID_6130" 4 0 8
"ID_6131" 8 6 1
"ID_6132" 3 0 2
"ID_6133" 8 6 6
"ID_6134" 3 0 1
"ID_6135" 10 2 4
"ID_6136" 4 0 1
"ID_6137" 3 2 3
"ID_6138" 1 0 0
"ID_6139" 0 4 4
"ID_6140" 1 0 1
"ID_6141" 1 4 0
"ID_6142" 1 0 3
"ID_6143" 2 4 0
"ID_6144" 2 0 1
"ID_6145" 0 1 1
"ID_6146" 3 3 2
"ID_6147" 0 2 0
"ID_6148" 0 0 0
"ID_6149" 0 1 1
"ID_6150" 0 2 0
"ID_6151" 1 0 1
"ID_6152" 0 0 2
"ID_6153" 1 6 5
"ID_6154" 3 8 2
"ID_6155" 2 0 2
"ID_6156" 1 1 2
"ID_6157" 4 3 2
"ID_6158" 2 6 2
"ID_6159" 1 0 1
"ID_6160" 3 1 1
"ID_6161" 5 6 2
"ID_6162" 1 2 0
"ID_6163" 1 3 4
"ID_6164" 3 0 4
"ID_6165" 1 1 0
"ID_6166" 1 7 13
"ID_6167" 1 0 2
"ID_6168" 3 0 3
"ID_6169" 1 1 0
"ID_6170" 4 1 2
"ID_6171" 2 0 0
"ID_6172" 0 4 2
"ID_6173" 3 1 3
"ID_6174" 5 4 4
"ID_6175" 1 4 4
"ID_6176" 4 2 0
"ID_6177" 1 3 1
"ID_6178" 1 2 0
"ID_6179" 0 1 2
"ID_6180" 1 2 1
"ID_6181" 1 1 1
"ID_6182" 2 2 2
"ID_6183" 0 4 1
"ID_6184" 3 3 2
"ID_6185" 2 3 0
"ID_6186" 5 3 1
"ID_6187" 1 2 1
"ID_6188" 4 1 4
"ID_6189" 2 1 0
"ID_6190" 1 0 0
"ID_6191" 0 0 0
"ID_6192" 1 2 0
"ID_6193" 0 0 0
"ID_6194" 0 0 0
"ID_6195" 0 0 0
"ID_6196" 2 0 0
"ID_6197" 0 0 0
"ID_6198" 1 0 0
"ID_6199" 1 0 0
"ID_6200" 1 0 0
"ID_6201" 0 0 0
"ID_6202" 1 0 0
"ID_6203" 1 0 0
"ID_6204" 3 0 0
"ID_6205" 0 0 0
"ID_6206" 0 0 1
"ID_6207" 0 0 0
"ID_6208" 3 1 0
"ID_6209" 0 1 0
"ID_6210" 4 1 2
"ID_6211" 1 6 5
"ID_6212" 5 10 2
"ID_6213" 4 4 2
"ID_6214" 2 1 1
"ID_6215" 2 0 3
"ID_6216" 5 3 7
"ID_6217" 0 0 2
"ID_6218" 3 0 0
"ID_6219" 2 4 1
"ID_6220" 3 3 2
"ID_6221" 4 8 4
"ID_6222" 1 3 1
"ID_6223" 5 2 1
"ID_6224" 2 2 2
"ID_6225" 6 2 2
"ID_6226" 1 1 0
"ID_6227" 0 2 2
"ID_6228" 3 4 5
"ID_6229" 4 3 3
"ID_6230" 8 2 5
"ID_6231" 5 3 2
"ID_6232" 4 9 8
"ID_6233" 0 2 2
"ID_6234" 5 4 5
"ID_6235" 1 1 0
"ID_6236" 7 6 4
"ID_6237" 1 0 0
"ID_6238" 0 0 1
"ID_6239" 0 0 0
"ID_6240" 2 0 0
"ID_6241" 4 1 4
"ID_6242" 3 2 2
"ID_6243" 0 0 0
"ID_6244" 6 3 5
"ID_6245" 3 1 4
"ID_6246" 1 0 0
"ID_6247" 0 3 2
"ID_6248" 3 6 2
"ID_6249" 2 2 2
"ID_6250" 0 2 6
"ID_6251" 2 1 5
"ID_6252" 4 5 1
"ID_6253" 3 0 2
"ID_6254" 3 4 4
"ID_6255" 3 5 0
"ID_6256" 0 1 1
"ID_6257" 5 3 4
"ID_6258" 5 3 2
"ID_6259" 1 1 1
"ID_6260" 1 1 2
"ID_6261" 3 0 0
"ID_6262" 4 1 0
"ID_6263" 3 0 0
"ID_6264" 0 0 0
"ID_6265" 5 6 4
"ID_6266" 3 1 0
"ID_6267" 1 0 0
"ID_6268" 1 2 1
"ID_6269" 4 1 1
"ID_6270" 2 2 1
"ID_6271" 0 2 2
"ID_6272" 4 3 3
"ID_6273" 8 7 9
"ID_6274" 0 0 5
"ID_6275" 6 3 9
"ID_6276" 3 2 1
"ID_6277" 3 0 1
"ID_6278" 2 2 0
"ID_6279" 0 2 3
"ID_6280" 2 1 0
"ID_6281" 1 1 0
"ID_6282" 0 0 0
"ID_6283" 0 0 1
"ID_6284" 2 3 2
"ID_6285" 6 5 5
"ID_6286" 4 3 4
"ID_6287" 2 6 5
"ID_6288" 3 1 1
"ID_6289" 4 1 2
"ID_6290" 4 1 1
"ID_6291" 1 0 1
"ID_6292" 1 1 1
"ID_6293" 6 4 6
"ID_6294" 0 2 2
"ID_6295" 3 3 2
"ID_6296" 5 0 1
"ID_6297" 3 0 1
"ID_6298" 1 1 1
"ID_6299" 0 2 0
"ID_6300" 0 3 0
"ID_6301" 1 8 5
"ID_6302" 4 3 3
"ID_6303" 4 3 5
"ID_6304" 4 1 1
"ID_6305" 0 2 6
"ID_6306" 1 0 1
"ID_6307" 0 0 0
"ID_6308" 4 1 2
"ID_6309" 4 2 3
"ID_6310" 7 9 3
"ID_6311" 0 0 1
"ID_6312" 0 0 1
"ID_6313" 4 2 3
"ID_6314" 2 0 0
"ID_6315" 2 0 0
"ID_6316" 5 4 1
"ID_6317" 6 4 1
"ID_6318" 5 3 4
"ID_6319" 4 5 2
"ID_6320" 3 2 3
"ID_6321" 5 0 0
"ID_6322" 1 0 0
"ID_6323" 2 0 0
"ID_6324" 0 0 0
"ID_6325" 8 7 10
"ID_6326" 3 0 1
"ID_6327" 4 1 2
"ID_6328" 0 0 1
"ID_6329" 10 0 3
"ID_6330" 2 0 1
"ID_6331" 4 6 3
"ID_6332" 2 1 2
"ID_6333" 3 4 5
"ID_6334" 4 2 4
"ID_6335" 6 1 4
"ID_6336" 3 4 1
"ID_6337" 0 5 2
"ID_6338" 4 8 1
"ID_6339" 1 0 1
"ID_6340" 2 1 1
"ID_6341" 0 0 0
"ID_6342" 0 1 2
"ID_6343" 3 2 0
"ID_6344" 0 1 0
"ID_6345" 4 2 3
"ID_6346" 1 0 2
"ID_6347" 0 0 0
"ID_6348" 0 1 0
"ID_6349" 8 5 1
"ID_6350" 1 0 4
"ID_6351" 5 5 1
"ID_6352" 1 2 2
"ID_6353" 3 2 2
"ID_6354" 1 0 2
"ID_6355" 1 0 0
"ID_6356" 0 1 2
"ID_6357" 1 1 1
"ID_6358" 0 1 2
"ID_6359" 0 0 2
"ID_6360" 0 1 1
"ID_6361" 1 0 0
"ID_6362" 3 5 4
"ID_6363" 0 2 0
"ID_6364" 0 0 1
"ID_6365" 1 3 0
"ID_6366" 0 1 0
"ID_6367" 0 1 8
"ID_6368" 1 1 4
"ID_6369" 0 1 4
"ID_6370" 1 0 4
"ID_6371" 4 2 1
"ID_6372" 3 1 5
"ID_6373" 0 0 3
"ID_6374" 2 6 6
"ID_6375" 3 1 1
"ID_6376" 0 0 0
"ID_6377" 5 10 4
"ID_6378" 1 1 4
"ID_6379" 4 5 2
"ID_6380" 5 13 8
"ID_6381" 6 6 4
"ID_6382" 3 2 1
"ID_6383" 4 5 2
"ID_6384" 6 1 7
"ID_6385" 0 0 1
"ID_6386" 4 0 0
"ID_6387" 1 0 0
"ID_6388" 0 0 0
"ID_6389" 0 1 0
"ID_6390" 1 0 4
"ID_6391" 1 3 0
"ID_6392" 2 2 0
"ID_6393" 1 2 3
"ID_6394" 1 2 1
"ID_6395" 0 0 1
"ID_6396" 2 1 1
"ID_6397" 1 0 1
"ID_6398" 0 0 0
"ID_6399" 1 1 1
"ID_6400" 1 1 4
"ID_6401" 4 7 2
"ID_6402" 4 6 2
"ID_6403" 5 7 3
"ID_6404" 2 2 2
"ID_6405" 2 1 0
"ID_6406" 1 3 0
"ID_6407" 0 1 1
"ID_6408" 2 0 0
"ID_6409" 4 0 2
"ID_6410" 1 1 0
"ID_6411" 3 1 1
"ID_6412" 1 2 0
"ID_6413" 2 0 0
"ID_6414" 3 2 1
"ID_6415" 0 1 0
"ID_6416" 1 0 0
"ID_6417" 1 0 3
"ID_6418" 7 1 2
"ID_6419" 0 0 2
"ID_6420" 0 1 2
"ID_6421" 0 3 2
"ID_6422" 0 0 0
"ID_6423" 1 0 2
"ID_6424" 2 0 2
"ID_6425" 3 0 0
"ID_6426" 2 4 1
"ID_6427" 4 1 4
"ID_6428" 8 2 2
"ID_6429" 5 7 8
"ID_6430" 8 2 1
"ID_6431" 1 2 2
"ID_6432" 2 0 6
"ID_6433" 1 2 2
"ID_6434" 3 1 1
"ID_6435" 0 1 0
"ID_6436" 0 0 1
"ID_6437" 3 4 1
"ID_6438" 4 1 7
"ID_6439" 4 9 3
"ID_6440" 2 1 5
"ID_6441" 1 4 1
"ID_6442" 1 2 16
"ID_6443" 3 4 1
"ID_6444" 4 3 1
"ID_6445" 0 0 0
"ID_6446" 1 1 0
"ID_6447" 3 0 0
"ID_6448" 1 0 0
"ID_6449" 0 1 3
"ID_6450" 3 3 3
"ID_6451" 4 4 2
"ID_6452" 0 1 2
"ID_6453" 3 0 2
"ID_6454" 2 2 0
"ID_6455" 3 8 4
"ID_6456" 2 2 3
"ID_6457" 3 5 4
"ID_6458" 3 1 3
"ID_6459" 1 2 0
"ID_6460" 1 1 0
"ID_6461" 2 1 0
"ID_6462" 4 5 5
"ID_6463" 2 1 1
"ID_6464" 1 4 1
"ID_6465" 5 3 3
"ID_6466" 5 2 4
"ID_6467" 1 0 0
"ID_6468" 4 1 3
"ID_6469" 0 0 0
"ID_6470" 2 0 2
"ID_6471" 5 2 0
"ID_6472" 2 0 3
"ID_6473" 7 7 4
"ID_6474" 0 3 1
"ID_6475" 1 0 2
"ID_6476" 10 3 3
"ID_6477" 3 5 7
"ID_6478" 0 2 2
"ID_6479" 2 4 1
"ID_6480" 1 1 3
"ID_6481" 5 0 2
"ID_6482" 1 7 4
"ID_6483" 3 1 2
"ID_6484" 4 3 1
"ID_6485" 3 1 2
"ID_6486" 0 1 1
"ID_6487" 0 0 3
"ID_6488" 0 3 0
"ID_6489" 6 4 5
"ID_6490" 3 1 2
"ID_6491" 1 1 2
"ID_6492" 1 2 4
"ID_6493" 8 2 4
"ID_6494" 10 2 6
"ID_6495" 2 7 4
"ID_6496" 1 1 1
"ID_6497" 3 4 0
"ID_6498" 0 1 3
"ID_6499" 2 0 2
"ID_6500" 2 1 3
"ID_6501" 2 1 0
"ID_6502" 2 0 0
"ID_6503" 0 1 0
"ID_6504" 2 0 3
"ID_6505" 5 5 4
"ID_6506" 0 0 0
"ID_6507" 2 4 2
"ID_6508" 2 2 3
"ID_6509" 3 2 0
"ID_6510" 1 3 2
"ID_6511" 2 5 5
"ID_6512" 0 1 1
"ID_6513" 1 7 1
"ID_6514" 4 2 2
"ID_6515" 1 5 1
"ID_6516" 1 2 1
"ID_6517" 6 0 2
"ID_6518" 1 1 6
"ID_6519" 3 2 1
"ID_6520" 4 5 1
"ID_6521" 0 1 0
"ID_6522" 1 0 1
"ID_6523" 1 0 0
"ID_6524" 0 0 0
"ID_6525" 0 0 0
"ID_6526" 0 0 0
"ID_6527" 0 0 0
"ID_6528" 0 0 0
"ID_6529" 0 0 1
"ID_6530" 0 1 0
"ID_6531" 0 0 0
"ID_6532" 3 4 5
"ID_6533" 1 1 2
"ID_6534" 5 1 4
"ID_6535" 1 2 1
"ID_6536" 1 1 0
"ID_6537" 0 2 4
"ID_6538" 3 5 6
"ID_6539" 2 6 3
"ID_6540" 7 2 5
"ID_6541" 8 8 3
"ID_6542" 4 6 1
"ID_6543" 6 4 2
"ID_6544" 1 0 1
"ID_6545" 0 0 1
"ID_6546" 0 4 1
"ID_6547" 1 1 0
"ID_6548" 0 0 0
"ID_6549" 1 1 0
"ID_6550" 5 2 2
"ID_6551" 2 1 0
"ID_6552" 2 4 5
"ID_6553" 2 2 2
"ID_6554" 2 1 2
"ID_6555" 1 1 0
"ID_6556" 3 1 2
"ID_6557" 3 0 0
"ID_6558" 1 0 0
"ID_6559" 0 0 0
"ID_6560" 0 0 0
"ID_6561" 3 1 1
"ID_6562" 0 0 3
"ID_6563" 4 3 1
"ID_6564" 2 1 4
"ID_6565" 2 3 3
"ID_6566" 1 2 1
"ID_6567" 4 1 3
"ID_6568" 1 1 1
"ID_6569" 2 2 1
"ID_6570" 2 3 2
"ID_6571" 7 2 2
"ID_6572" 0 0 1
"ID_6573" 3 2 0
"ID_6574" 2 0 0
"ID_6575" 0 0 0
"ID_6576" 1 0 0
"ID_6577" 6 3 7
"ID_6578" 5 3 7
"ID_6579" 3 1 0
"ID_6580" 2 1 2
"ID_6581" 2 4 4
"ID_6582" 1 0 0
"ID_6583" 0 0 0
"ID_6584" 2 0 0
"ID_6585" 3 1 0
"ID_6586" 7 0 2
"ID_6587" 0 0 0
"ID_6588" 6 3 1
"ID_6589" 1 6 3
"ID_6590" 1 0 0
"ID_6591" 0 0 1
"ID_6592" 10 4 1
"ID_6593" 0 0 0
"ID_6594" 6 10 2
"ID_6595" 6 6 7
"ID_6596" 1 4 4
"ID_6597" 0 1 0
"ID_6598" 2 0 1
"ID_6599" 1 0 0
"ID_6600" 1 1 1
"ID_6601" 3 0 1
"ID_6602" 2 4 0
"ID_6603" 1 1 2
"ID_6604" 3 0 1
"ID_6605" 2 1 2
"ID_6606" 1 1 2
"ID_6607" 2 2 0
"ID_6608" 3 0 1
"ID_6609" 0 0 1
"ID_6610" 0 0 0
"ID_6611" 0 0 0
"ID_6612" 4 0 3
"ID_6613" 0 6 0
"ID_6614" 0 1 2
"ID_6615" 2 0 5
"ID_6616" 1 3 1
"ID_6617" 2 1 2
"ID_6618" 3 2 4
"ID_6619" 3 6 3
"ID_6620" 1 0 0
"ID_6621" 10 8 8
"ID_6622" 4 1 5
"ID_6623" 1 0 1
"ID_6624" 4 4 2
"ID_6625" 1 2 5
"ID_6626" 3 3 3
"ID_6627" 3 1 0
"ID_6628" 3 5 8
"ID_6629" 3 6 4
"ID_6630" 0 2 2
"ID_6631" 5 5 2
"ID_6632" 2 2 5
"ID_6633" 0 0 2
"ID_6634" 2 0 0
"ID_6635" 1 0 1
"ID_6636" 4 2 2
"ID_6637" 1 4 5
"ID_6638" 2 2 1
"ID_6639" 0 1 0
"ID_6640" 1 3 1
"ID_6641" 0 2 3
"ID_6642" 3 4 0
"ID_6643" 2 3 0
"ID_6644" 1 2 1
"ID_6645" 3 2 9
"ID_6646" 3 4 2
"ID_6647" 1 1 2
"ID_6648" 5 4 2
"ID_6649" 2 3 3
"ID_6650" 7 2 3
"ID_6651" 2 5 4
"ID_6652" 5 8 2
"ID_6653" 3 0 0
"ID_6654" 2 3 3
"ID_6655" 1 0 1
"ID_6656" 3 1 4
"ID_6657" 2 1 2
"ID_6658" 0 0 1
"ID_6659" 0 1 0
"ID_6660" 5 3 3
"ID_6661" 0 0 0
"ID_6662" 1 0 3
"ID_6663" 2 0 0
"ID_6664" 0 0 0
"ID_6665" 2 1 0
"ID_6666" 1 2 2
"ID_6667" 1 0 1
"ID_6668" 0 0 1
"ID_6669" 3 3 0
"ID_6670" 1 2 4
"ID_6671" 0 3 6
"ID_6672" 0 4 3
"ID_6673" 0 0 0
"ID_6674" 0 0 1
"ID_6675" 2 1 0
"ID_6676" 1 0 0
"ID_6677" 0 1 1
"ID_6678" 3 1 4
